voice_transcription,comment,detected_dishes,detected_ingredients,created
"I can definitely make fried rice, probably could do a basic curry, and I'm learning how to make pad thai.",skill level qualifiers with dishes,fried rice; curry; pad thai,,2026-01-22
"Remove steak frites, I don't actually know how to make that. But keep omelette and add scrambled eggs.",correction with removal and addition,omelette; scrambled eggs,,2026-01-22
"I have what's left of the groceries from Monday, so probably some greens, proteins, and carbs.",temporal reference with vague categories,,"mixed greens, mixed proteins, mixed carbs",2026-01-22
"There's a bunch of cilantro, a head of garlic, and a couple stalks of celery.",bunch and collective nouns for quantities,,"cilantro, garlic, celery",2026-01-22
"I picked up some Asian ingredients yesterday - bok choy, rice noodles, sesame oil, that sort of thing.",category reference with examples,,"bok choy, rice noodles, sesame oil",2026-01-22
"I can make anything with eggs basically - omelettes, fried eggs, boiled eggs, whatever.",skill with ingredient category,omelette; fried eggs; boiled eggs,,2026-01-22
"Got a whole chicken I need to break down, some root vegetables, and fresh pasta from the Italian place.",ingredient processing state and source,,"whole chicken, root vegetables, fresh pasta",2026-01-22
"I have the usual suspects - eggs, milk, butter, bread. And I can make the classics - toast, cereal, basic stuff.",common items with generic descriptions,toast; cereal,"eggs, milk, butter, bread",2026-01-22
"There's protein powder, regular flour, and that gluten-free flour my sister left here.",specific dietary variations,,"protein powder, all-purpose flour, gluten-free flour",2026-01-22
"I bought ingredients for tacos but haven't made them yet, so ground beef, tortillas, lettuce, cheese, salsa.",meal-based ingredient listing,tacos,"ground beef, tortillas, lettuce, cheese, salsa",2026-01-22
"My fridge has: top shelf - dairy stuff, middle shelf - leftovers and produce, bottom - meat and fish.",location-based organization reference,,"milk, cheese, mixed leftovers, mixed vegetables, chicken, salmon",2026-01-22
"I can cook anything in one pan, like stir fries, pasta dishes, rice bowls, that kind of thing.",cooking method-based skill description,stir-fry; pasta; rice bowl,,2026-01-22
"There's ingredients for breakfast - eggs, bacon, bread, OJ. And sandwich stuff - deli meat, cheese, lettuce, tomato.",meal time categorization,,"eggs, bacon, bread, orange juice, deli meat, cheese, lettuce, tomato",2026-01-22
"I have snacky things like crackers and hummus, meal things like chicken and rice, and baking things like flour and sugar.",usage-based categorization,,"crackers, hummus, chicken, rice, flour, sugar",2026-01-22
"Got some bougie ingredients - truffle oil, aged balsamic, fancy sea salt. And normal stuff too.",quality level descriptions,,"truffle oil, balsamic vinegar, sea salt",2026-01-22
"I can make my grandma's recipes - her meatballs, her tomato sauce, her tiramisu. Family classics.",heritage-based dish references,meatballs; tomato sauce; tiramisu,,2026-01-22
"Emergency supplies: ramen, canned soup, frozen pizza. Real food: fresh vegetables, chicken breast, quinoa.",quality categorization with examples,,"ramen, canned soup, frozen pizza, mixed vegetables, chicken breast, quinoa",2026-01-22
"I've mastered the art of not cooking - I can order takeout, heat up frozen meals, make cereal.",humorous non-cooking references,cereal,,2026-01-22
"Spice cabinet is stocked: cumin, paprika, oregano, all the usuals. Oh and I have some meat and veggies too.",detailed category with summary additions,,"cumin, paprika, oregano, mixed spices, meat, vegetables",2026-01-22
"I can make anything that doesn't require an oven because mine is broken. So stovetop stuff - pastas, stir fries, pan-seared things.",constraint-based cooking ability,pasta; stir-fry,,2026-01-22
"Random stuff I grabbed: that green sauce, the white cheese that melts good, some of those pre-cut veggies.",very vague descriptive references,,"pesto, mozzarella, mixed pre-cut vegetables",2026-01-22
"Meal prep containers in the fridge: grilled chicken from Sunday, cooked quinoa, steamed broccoli, roasted sweet potato.",pre-prepared components,,"grilled chicken, quinoa, broccoli, sweet potato",2026-01-22
"I'm vegetarian so I have lots of beans, lentils, tofu, tempeh. And I can make veggie burgers, bean chili, tofu scramble.",dietary identity with relevant items,veggie burgers; bean chili; tofu scramble,"beans, lentils, tofu, tempeh",2026-01-22
"Staples running low: almost out of eggs, need more milk, butter is basically gone. But I have plenty of pasta and rice.",inventory status descriptors,,"eggs, milk, butter, pasta, rice",2026-01-22
"I cook like a college student - mac and cheese, quesadillas, instant ramen upgraded with an egg and veggies.",demographic-based cooking style reference,mac and cheese; quesadillas; ramen,"cheese, tortillas, instant ramen, eggs, vegetables",2026-01-22
